Year,fossil emissions excluding carbonation,land-use change emissions
1850,0.053698681,0.72141
1851,0.054221643,0.74588
1852,0.056608683,0.758793333
1853,0.059257762,0.774983333
1854,0.069605123,0.78471
1855,0.070989191,0.787466667
1856,0.075681344,0.79182
1857,0.076400659,0.802533333
1858,0.077572368,0.8079
1859,0.082282005,0.821333333
1860,0.090328215,0.77922
1861,0.094919709,0.75109
1862,0.096749155,0.74433
1863,0.103215105,0.740703333
1864,0.111278923,0.73348
1865,0.118138409,0.720583333
1866,0.121875979,0.725536667
1867,0.130502388,0.728933333
1868,0.134157193,0.721026667
1869,0.14245475,0.7168
1870,0.145561749,0.77875
1871,0.154719261,0.806343333
1872,0.171206673,0.819853333
1873,0.181899897,0.838233333
1874,0.170369139,0.854086667
1875,0.184801808,0.860353333
1876,0.187440018,0.868613333
1877,0.191158406,0.88457
1878,0.192678373,0.900653333
1879,0.20632928,0.90901
1880,0.233055789,0.920753333
1881,0.241141938,0.911426667
1882,0.254738028,0.929426667
1883,0.270948036,0.94857
1884,0.274054061,0.950763333
1885,0.276101837,0.94917
1886,0.28040871,0.96229
1887,0.294417803,0.978046667
1888,0.325969608,0.980613333
1889,0.326043686,0.978453333
1890,0.354902376,1.05047
1891,0.371656709,1.079663333
1892,0.374562358,1.091256667
1893,0.369944689,1.11232
1894,0.382920078,1.122113333
1895,0.405958618,1.133036667
1896,0.419313758,1.144556667
1897,0.439200754,1.1484
1898,0.46320044,1.156936667
1899,0.505925005,1.173176667
1900,0.532808265,1.194683333
1901,0.550421528,1.205776667
1902,0.564324222,1.22443
1903,0.615202006,1.22709
1904,0.622201805,1.250896667
1905,0.662477723,1.254903333
1906,0.691794006,1.262
1907,0.788296395,1.2736
1908,0.757762264,1.284183333
1909,0.788890497,1.295266667
1910,0.828081282,1.267113333
1911,0.840475439,1.257763333
1912,0.883177843,1.241756667
1913,0.956952991,1.23871
1914,0.868000977,1.238093333
1915,0.85558244,1.22549
1916,0.924087991,1.212576667
1917,0.966273662,1.208616667
1918,0.953401785,1.216
1919,0.826693927,1.204506667
1920,0.961088263,1.257753333
1921,0.843367001,1.291436667
1922,0.884365141,1.308423333
1923,1.003338739,1.306763333
1924,1.006337392,1.311943333
1925,1.017203543,1.33044
1926,0.999189576,1.325956667
1927,1.09064645,1.328283333
1928,1.085906982,1.330533333
1929,1.165640794,1.334356667
1930,1.074945008,1.35479
1931,0.960672279,1.374263333
1932,0.866123448,1.389633333
1933,0.911986409,1.395286667
1934,0.991878209,1.408676667
1935,1.041156755,1.409523333
1936,1.142334546,1.416566667
1937,1.221133412,1.412773333
1938,1.14817166,1.420216667
1939,1.214860074,1.420933333
1940,1.326786429,1.457963333
1941,1.35666333,1.50509
1942,1.353598818,1.514756667
1943,1.376008271,1.51172
1944,1.396809135,1.511916667
1945,1.161882188,1.50257
1946,1.268046835,1.498293333
1947,1.404416436,1.485686667
1948,1.480609359,1.465226667
1949,1.414029949,1.451046667
1950,1.618270106,1.65586
1951,1.741650053,1.681996667
1952,1.765130202,1.720756667
1953,1.81519141,1.75142
1954,1.853028751,1.793736667
1955,2.031621392,1.8541
1956,2.163204266,1.90846
1957,2.234064852,1.957666667
1958,2.297259736,2.014696667
1959,2.416665456,2.121526667
1960,2.56179621,1.864403333
1961,2.569427515,1.787483333
1962,2.660086233,1.657756667
1963,2.801868781,1.604056667
1964,2.954044224,1.565253333
1965,3.086705587,1.42073
1966,3.237365852,1.374056667
1967,3.339609301,1.411203333
1968,3.52192569,1.428043333
1969,3.755687609,1.340483333
1970,4.066090712,1.395793333
1971,4.231109638,1.315316667
1972,4.42779468,1.31611
1973,4.662527456,1.281466667
1974,4.642298615,1.245676667
1975,4.653378644,1.258953333
1976,4.908636736,1.252953333
1977,5.047666913,1.253063333
1978,5.203044493,1.216276667
1979,5.350164359,1.154373333
1980,5.317259993,1.20265
1981,5.190215328,1.270446667
1982,5.148846395,1.27638
1983,5.181741625,1.40821
1984,5.360733803,1.628533333
1985,5.541793264,1.502266667
1986,5.624321191,1.553716667
1987,5.79852154,1.505066667
1988,6.025487138,1.44615
1989,6.107797353,1.430363333
1990,6.20979811,1.41018
1991,6.339922251,1.350036667
1992,6.159170024,1.42552
1993,6.222257178,1.399853333
1994,6.286783591,1.576536667
1995,6.420439935,1.53916
1996,6.618494234,1.63682
1997,6.658283437,2.041756667
1998,6.640541938,1.682623333
1999,6.777700499,1.638646667
2000,6.959958454,1.467156667
2001,7.007349984,1.3745
2002,7.163834459,1.469753333
2003,7.54602874,1.592123333
2004,7.811187939,1.47211
2005,8.076447288,1.335126667
2006,8.353102395,1.428686667
2007,8.597088978,1.24346
2008,8.745060733,1.293883333
2009,8.595323847,1.42908
2010,9.090155017,1.413076667
2011,9.39860004,1.424126667
2012,9.534785309,1.45884
2013,9.61584801,1.326086667
2014,9.679638329,1.423113333
2015,9.678824989,1.536643333
2016,9.677954599,1.255183333
2017,9.832273843,1.245903333
2018,10.03464659,1.169526667
2019,10.10919852,1.25478
2020,9.554513897,1.172266667
2021,10.04818298,1.17947
2022,10.13913339,1.176296667
